1615833354.732864: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833355.732968: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833356.733062: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833357.733156: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833358.733252: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833359.733336: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833360.733797: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833361.733876: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833362.733963: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833363.734050: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833364.734137: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833365.734227: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833366.734311: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833367.734398: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833368.734497: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833369.734596: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833370.734686: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833371.734782: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
1615833372.29443: bus 09, gpu 0.00%, ee 0.00%, vgt 0.00%, ta 0.00%, sx 0.00%, sh 0.00%, spi 0.00%, sc 0.00%, pa 0.00%, db 0.00%, cb 0.00%, vram 1.17% 23.71mb, gtt 0.30% 9.18mb, mclk 100.00% 1.333ghz, sclk 40.00% 0.400ghz
